regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
41202013815;LV53ZZZ41202013815;"IK ""KRASTNIEKI A I""";IK;KRASTNIEKI A I;"";0;K;Komercreģistrs;IK;Individuālais komersants;1998-02-26;2014-04-10;L;"Dundagas nov., Kolkas pag., Kolka, ""Krastnieki""";3275;103045133;100015821;0;0885162;
40003868290;;"Sabiedrība ar ierobežotu atbildību ""AST BŪVE""";Sabiedrība ar ierobežotu atbildību;AST BŪVE;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2006-10-24;2013-12-11;L;Jūrmala, Raiņa iela 79-28;2011;116484351;0;100003036;0130000;
40103215608;;"SIA ""Baltima""";SIA;Baltima;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2009-02-17;2013-12-11;L;Rīga, Trijādības iela 4;1048;102009175;0;100003003;0010000;
41502039688;LV14ZZZ41502039688;"IK ""MasterClean""";IK;MasterClean;"";0;K;Komercreģistrs;IK;Individuālais komersants;2020-03-03;; ;Augšdaugavas nov., Naujenes pag., Krauja, Meža iela 4 - 75;5451;115740415;100016462;0;0440274;
40008048734;LV28ZZZ40008048734;"Mednieku klubs ""Atpūtas""";Mednieku klubs;Atpūtas;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2000-02-23;; ;Rīga, Zemes iela 4 - 69;1082;115058568;0;100003003;0010000;
40002158072;LV09ZZZ40002158072;IK DANDIS;IK;DANDIS;"";1;K;Komercreģistrs;IK;Individuālais komersants;2010-11-24;2014-04-09;L;"Babītes nov., Babītes pag., Vīkuļi, ""Jaunskadiņi""";2107;103045920;100015725;0;0804948;
40002102524;LV88ZZZ40002102524;"IK ""Dīfija""";IK;Dīfija;"";0;K;Komercreģistrs;IK;Individuālais komersants;2004-04-02;2014-04-09;L;Rīga, Avotu iela 17;1011;101858996;0;100003003;0010000;
41502039692;LV03ZZZ41502039692;"IK ""D.Luxe""";IK;D.Luxe;"";0;K;Komercreģistrs;IK;Individuālais komersants;2020-03-05;; ;Daugavpils, Aroniju iela 66;5414;105057694;0;100003011;0050000;
40008229769;LV10ZZZ40008229769;"""IEDVESMU PĻAVA""";"";IEDVESMU PĻAVA;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2014-10-28;; ;Rīga, Apes iela 5A - 65;1039;117983582;0;100003003;0010000;
40003363602;LV19ZZZ40003363602;"Sabiedrība ar ierobežotu atbildību ""MKL""";Sabiedrība ar ierobežotu atbildību;MKL;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1997-10-21;2015-02-11;L;Rīga, Juglas iela 49-33;1064;113102824;0;100003003;0010000;
